0.1625 	 KD 
0.1625 	 HH 
0.4528 	 HH 
0.7198 	 SD 
0.7314 	 HH 
1.0217 	 HH 
1.2771 	 HH 
1.2771 	 KD 
1.5557 	 HH 
1.7995 	 HH 
1.7995 	 SD 
2.0782 	 HH 
2.3336 	 HH 
2.3336 	 KD 
2.6122 	 HH 
2.8677 	 HH 
2.8677 	 SD 
3.1579 	 HH 
3.4249 	 HH 
3.4249 	 KD 
3.7036 	 HH 
3.9590 	 HH 
3.9590 	 SD 
4.2493 	 HH 
4.5163 	 HH 
4.5163 	 KD 
4.7949 	 HH 
5.0503 	 HH 
5.0503 	 SD 
5.3522 	 HH 
5.5960 	 KD 
5.5960 	 HH 
5.8979 	 HH 
6.1301 	 SD 
6.1417 	 HH 
6.4319 	 HH 
6.6873 	 HH 
6.6990 	 KD 
6.9776 	 HH 
7.2330 	 SD 
7.2330 	 HH 
7.5233 	 HH 
7.7787 	 HH 
7.7787 	 KD 
8.0573 	 HH 
8.3127 	 SD 
8.3127 	 HH 
8.6030 	 HH 
8.8584 	 KD 
8.8700 	 HH 
9.1487 	 HH 
9.4157 	 HH 
9.4157 	 SD 
9.6943 	 HH 
9.9498 	 KD 
9.9498 	 HH 
10.2284 	 HH 
10.4838 	 SD 
10.4954 	 HH 
10.7857 	 HH 
11.0411 	 KD 
11.0411 	 HH 
11.3313 	 HH 
11.5868 	 SD 
11.5984 	 HH 
11.8770 	 HH 
12.1440 	 HH 
12.1440 	 KD 
12.4227 	 HH 
12.6781 	 SD 
12.6897 	 HH 
12.9800 	 HH 
13.2354 	 HH 
13.2470 	 KD 
13.5140 	 HH 
13.7694 	 HH 
13.7694 	 SD 
14.0713 	 HH 
14.3267 	 HH 
14.3267 	 KD 
14.6170 	 HH 
14.8724 	 HH 
14.8724 	 SD 
14.9537 	 SD 
15.1626 	 HH 
15.4180 	 KD 
15.4180 	 HH 
15.6967 	 HH 
15.9405 	 SD 
15.9405 	 HH 
16.2424 	 HH 
16.5094 	 KD 
16.5094 	 HH 
16.7880 	 HH 
17.0434 	 HH 
17.0434 	 SD 
17.3221 	 HH 
