0.2206 	 KD 
0.2206 	 HH 
0.5108 	 HH 
0.7663 	 HH 
0.7663 	 SD 
1.0565 	 KD 
1.0681 	 HH 
1.3235 	 KD 
1.3351 	 HH 
1.6254 	 HH 
1.8924 	 HH 
1.8924 	 SD 
2.1827 	 HH 
2.4381 	 KD 
2.4381 	 HH 
2.7167 	 HH 
2.9605 	 HH 
2.9605 	 SD 
3.2392 	 KD 
3.2392 	 HH 
3.5062 	 KD 
3.5062 	 HH 
3.7849 	 HH 
4.0403 	 HH 
4.0403 	 SD 
4.3305 	 HH 
4.5859 	 KD 
4.5976 	 HH 
4.8878 	 HH 
5.1316 	 SD 
5.1432 	 HH 
5.4102 	 KD 
5.4219 	 HH 
5.6889 	 KD 
5.6889 	 HH 
5.9675 	 HH 
6.2113 	 SD 
6.2229 	 HH 
6.5248 	 HH 
6.7802 	 HH 
6.7802 	 KD 
7.0589 	 HH 
7.3143 	 SD 
7.3143 	 HH 
7.6045 	 HH 
7.6045 	 KD 
7.8600 	 SD 
7.8716 	 HH 
7.8716 	 KD 
8.1618 	 HH 
8.4172 	 HH 
8.4172 	 SD 
8.7075 	 HH 
8.9629 	 KD 
8.9629 	 HH 
9.2415 	 HH 
9.4970 	 SD 
9.4970 	 HH 
9.7756 	 HH 
9.7756 	 KD 
10.0426 	 HH 
10.0426 	 KD 
10.3329 	 HH 
10.5883 	 SD 
10.5883 	 HH 
10.6696 	 SD 
10.8785 	 HH 
11.1340 	 KD 
11.1340 	 HH 
11.4242 	 HH 
11.6796 	 SD 
11.6796 	 HH 
11.7609 	 SD 
11.9583 	 HH 
11.9583 	 KD 
12.2253 	 HH 
12.2253 	 KD 
12.5272 	 HH 
12.7826 	 HH 
12.7942 	 SD 
13.0728 	 HH 
13.3166 	 HH 
13.3283 	 KD 
13.6069 	 HH 
13.8507 	 SD 
13.8507 	 HH 
14.1293 	 KD 
14.1293 	 HH 
14.4080 	 KD 
14.4080 	 HH 
14.6982 	 HH 
14.9537 	 SD 
14.9537 	 HH 
15.2323 	 HH 
15.4993 	 KD 
15.4993 	 HH 
15.7896 	 HH 
16.0334 	 SD 
16.0450 	 HH 
16.3120 	 KD 
16.3120 	 HH 
16.5907 	 KD 
16.5907 	 HH 
16.8693 	 HH 
17.1363 	 SD 
17.1363 	 HH 
