0.0464 	 KD 
0.0464 	 SD 
0.0580 	 HH 
0.5108 	 HH 
0.5224 	 SD 
0.7198 	 KD 
0.9520 	 HH 
1.4280 	 HH 
1.4396 	 SD 
1.6486 	 KD 
1.8808 	 SD 
2.0898 	 HH 
2.1130 	 SD 
2.3104 	 HH 
2.5426 	 HH 
2.5658 	 SD 
2.7980 	 KD 
3.0186 	 HH 
3.0418 	 SD 
3.2276 	 HH 
3.4598 	 SD 
3.4598 	 KD 
3.4714 	 HH 
3.6920 	 SD 
3.7268 	 HH 
4.1680 	 HH 
4.1796 	 SD 
4.3770 	 KD 
4.6208 	 HH 
4.6208 	 SD 
5.0852 	 HH 
5.0968 	 SD 
5.3174 	 KD 
5.5380 	 SD 
5.5380 	 KD 
5.7702 	 HH 
5.7934 	 SD 
5.9907 	 HH 
6.2346 	 HH 
6.2578 	 SD 
6.4784 	 KD 
6.4900 	 SD 
6.6990 	 HH 
6.7222 	 SD 
6.9079 	 HH 
7.1517 	 HH 
7.1517 	 KD 
7.3259 	 SD 
7.4188 	 HH 
